Vehicle Plate,State,Current State Since (HH:MM:SS),Device Status,Time,Odometer (km),Engine Hours (hrs),Fuel Level (Lts),Updated On,Adblue Level (Lts),Updated On.1,In Hub,In Hub Since (HH:MM:SS),Closest Hub,Address
HR38U8886,STOPPED,04:47:59,Connected,October 10 2024 02:14 pm,-,-,-,-,-,-,Ultratech Cement Ltd(Jharli Plant) parking area,14:05:42,-,"Unnamed Road, Jhamri, Haryana 124142, India"
HR38U6730,MOVING,00:21:59,Connected,October 10 2024 02:16 pm,-,-,-,-,-,-,-,-,2 km from ZIP Enterprises Private Limited,"Matanhail Main Rd, Matanhail, Haryana 124106, India"
HR38U4953,STOPPED,00:22:40,Connected,October 10 2024 02:14 pm,-,-,-,-,-,-,Ultratech Cement Ltd (Jharli) Unloading Area,03:23:16,-,"Unnamed Road, Haryana 124142, India"
HR38Z5979,STOPPED,00:32:01,Connected,October 10 2024 02:14 pm,188881,7317.55,-,-,22,October 09 2024 09:47 am,Ultratech Cement Ltd(Jharli Plant) parking area,28:30:35,-,"Unnamed Road, Jhamri, Haryana 124142, India"
HR38Z1736,STOPPED,18:09:39,Connected,October 10 2024 02:15 pm,190265,7479.6,-,-,35,October 09 2024 07:59 pm,Ultratech Cement Ltd(Jharli Plant) parking area,18:18:46,-,"Unnamed Road, Jhamri, Haryana 124142, India"
HR38X5287,STOPPED,02:57:04,Connected,October 10 2024 02:15 pm,277213,9874.85,-,-,35,October 10 2024 11:14 am,NS Concrete Daultabad,03:04:25,-,"Daulatabad Link Rd, Sector 103, Gurugram, Haryana 122006, India"
HR38X7970,STOPPED,00:01:20,Connected,October 10 2024 02:15 pm,250995,9477.95,-,-,30,October 10 2024 02:06 pm,CLP loading,01:34:14,-,"JPL plant Rd, Khorra -N, Haryana 124142, India"
HR38X4821,STOPPED,01:10:32,Connected,October 10 2024 02:06 pm,193652,8117.4,-,-,34,October 09 2024 07:59 am,Pave Espania,17:38:49,-,"8V8F+WQ Binola, Haryana, India"
HR38AF0577,STOPPED,04:19:30,Connected,October 10 2024 02:13 pm,44325,1536.506667,346,October 10 2024 09:51 am,51,October 10 2024 09:52 am,-,-,0.2 km from SAPL S2,"Jharli - Mohanbari Rd, Mohanbari, Haryana 123303, India"
HR38AF6225,MOVING,00:12:59,Connected,October 10 2024 02:16 pm,49901,1811.463333,314,October 10 2024 02:12 pm,36,October 10 2024 02:12 pm,-,-,10 km from SHAMBHUPURA,"NH 48, Thukrawa, Rajasthan 312025, India"
HR38AF2628,STOPPED,01:38:45,Connected,October 10 2024 02:16 pm,45585,1614.013611,273,October 10 2024 08:41 am,34,October 10 2024 08:38 am,CLP Parking,05:35:17,-,"CLP MGSTPP, India"
